pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
118.5,-50.875,90.0,top,ANG1,BM02B-SRSS-TB,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,JST-SH-1.00mm 1x2,smt,True
113.275,-50.875,90.0,top,ANG2,BM02B-SRSS-TB,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,JST-SH-1.00mm 1x2,smt,True
134.06,-49.515,0.0,top,BOARDLAYOUT1,,board-layout,LAYOUT,tht,False
105.9,-53.0352,180.0,top,BT1,B2B-PH-SM4-TBT,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,JST-PH-1x02-2.000mm,smt,True
105.9,-53.0352,0.0,bottom,BT2,B2B-PH-SM4-TBT,JST_PH_S2B-PH-SM4-TB_1x02-1MP_P2.00mm_Horizontal,JST-PH-1x02-2.000mm,smt,False
111.8108,-59.8678,-90.0,top,C1,CL05B104KO5NNNC,C_0402_1005Metric,0.1uF,smt,True
122.078,-61.7982,90.0,top,C10,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
111.7854,-65.2526,-90.0,top,C11,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
114.7572,-65.2018,90.0,top,C12,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
146.3418,-50.3174,0.0,top,C13,CL10A105KO8NNNC,C_0603_1608Metric,10uF,smt,True
102.6414,-64.6938,0.0,top,C14,CL10A105KO8NNNC,C_0603_1608Metric,10uF,smt,True
104.6734,-62.4814,-90.0,top,C15,CL05B104KO5NNNC,C_0402_1005Metric,0.1uF,smt,True
146.0526,-49.0982,0.0,top,C19,CL05B104KO5NNNC,C_0402_1005Metric,0.1uF,smt,True
110.8202,-59.8678,-90.0,top,C2,GRT155R61C474KE01D,C_0402_1005Metric,0.47uF,smt,True
102.6414,-67.183,-90.0,top,C3,CL10A475KO8NNNC,C_0603_1608Metric,4.7uF,smt,True
113.6142,-67.4878,-90.0,top,C4,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
116.84,-67.4878,90.0,top,C5,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
118.4656,-65.1256,-90.0,top,C6,CL05B104KO5NNNC,C_0402_1005Metric,0.1uF,smt,True
121.1382,-61.7982,90.0,top,C7,CL05B104KO5NNNC,C_0402_1005Metric,0.1uF,smt,True
112.9284,-62.7888,0.0,top,C8,CL10A475KO8NNNC,C_0603_1608Metric,4.7uF,smt,True
143.4338,-50.1396,90.0,top,C9,CL05A105KO5NNNC,C_0402_1005Metric,1uF,smt,True
99.7204,-69.8538,180.0,top,CHARGLED1,APHHS1005SURCK,LED_0402_1005Metric,S1,smt,True
99.7204,-68.5038,180.0,top,CHARGLED2,APHHS1005SURCK,LED_0402_1005Metric,S2,smt,True
99.7204,-67.0588,180.0,top,CHARGLED3,APHHS1005SURCK,LED_0402_1005Metric,PG,smt,True
108.354,-59.423399,0.0,top,FG1,MAX17055ETB+T,21-100013A_T102A2&plus_1C_MXM,MAX17055ETB+T,smt,True
95.25,-52.07,0.0,top,H1,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht,False
95.25,-69.85,0.0,top,H2,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht,False
118.2728,-61.9941,0.0,top,IMU1,ICM-20948,QFN24_3X3X0P9_IVS,ICM-20948,smt,True
96.393,-60.9191,-90.0,top,J1,USB4105-GF-A,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt,True
138.865,-60.9191,-90.0,top,MCU1,ESP32-S3-WROOM-2-N32R8V,ESP32-S3-WROOM-2,ESP32-S3-WROOM-2,smt,True
119.9896,-57.8612,-90.0,top,Q1,BSS138,SOT-23,BSS138,smt,True
116.586,-57.8889,-90.0,top,Q2,BSS138,SOT-23,BSS138,smt,True
121.865,-66.0875,-90.0,top,Q3,BSS138,SOT-23,BSS138,smt,True
122.15,-51.25,-90.0,top,R1,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
100.3554,-51.9684,180.0,top,R10,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
103.4542,-59.1038,90.0,top,R12,ERJ-2RKF1002X,R_0402_1005Metric,10k,smt,True
119.5578,-55.3974,0.0,top,R14,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
116.3848,-55.4736,0.0,top,R15,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
127.7874,-64.6176,-90.0,top,R16,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
111.4552,-67.7926,90.0,top,R17,ERJ-2RKF2492X,R_0402_1005Metric,24.9k,smt,True
105.0544,-66.4972,-90.0,top,R18,ERJ-2RKF3303X,R_0402_1005Metric,330k,smt,True
127.7874,-62.3062,90.0,top,R19,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
108.3564,-61.7474,180.0,top,R2,LVK12R010CER,LVK12_OHM-L,Ohmite_LVK12 10m,smt,True
112.4204,-67.7926,90.0,top,R20,ERJ-2RKF2001X,R_0402_1005Metric,2k,smt,True
122.301,-63.6524,0.0,top,R21,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
104.5972,-69.8754,0.0,top,R22,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
127.7874,-67.3374,90.0,top,R23,ERJ-2RKF2201X,R_0402_1005Metric,2k2,smt,True
104.5972,-68.8848,0.0,top,R24,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
104.5972,-70.8394,0.0,top,R3,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
104.0892,-66.4972,90.0,top,R4,ERJ-2RKF1103X,R_0402_1005Metric,110k,smt,True
144.3736,-50.1396,90.0,top,R5,ERJ-2RKF1002X,R_0402_1005Metric,10k,smt,True
102.4636,-63.3222,180.0,top,R6,ERJ-2RKF5101X,R_0402_1005Metric,5k1,smt,True
101.9302,-59.0804,-90.0,top,R7,ERJ-2RKF5101X,R_0402_1005Metric,5k1,smt,True
100.3554,-53.8988,180.0,top,R8,ERJ-2RKF1001X,R_0402_1005Metric,1k,smt,True
104.5972,-67.9196,0.0,top,R9,ERJ-2RKF1002X,R_0402_1005Metric,10k,smt,True
99.7204,-54.864,180.0,top,STATLED1,APHHS1005SURCK,LED_0402_1005Metric,WIFISTATUS,smt,True
99.7204,-52.9336,180.0,top,STATLED2,APHHS1005SURCK,LED_0402_1005Metric,GENERAL STATUS,smt,True
125.39,-66.04,90.0,top,SW1,PTS810 SJM 250 SMTR LFS,SW_SPST_B3U-1000P,B3U-1000P,smt,True
125.5014,-58.1152,-90.0,top,SW2,PTS810 SJM 250 SMTR LFS,SW_SPST_B3U-1000P,B3U-1000P,smt,True
104.4448,-59.1038,90.0,top,TH1,ERT-JZEG103FA,R_0402_1005Metric,10k,smt,True
116.265,-71.375,180.0,top,TOUCH1,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH-1x04 1.0mm,smt,True
124.065,-71.375,180.0,top,TOUCH2,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH-1x04 1.0mm,smt,True
102.6922,-61.722,0.0,top,U1,USBLC6-2P6,SOT-666,USBLC6-2P6,smt,True
108.3747,-66.175,0.0,top,U2,MCP73871-2CCI/ML,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,MCP73871,smt,True
115.1636,-67.34175,180.0,top,U3,NCP167AMX330TBG,XDFN4_1X1_711AJ_ONS,NCP167AMX330TBG,smt,True
113.4364,-65.10655,180.0,top,U4,NCP167AMX180TBG,XDFN4_1X1_711AJ_ONS,NCP167AMX180TBG,smt,True
