pos_x,pos_y,rotation,side,designator,mpn,pack,value,mount_type,place
118.5,-50.875,90.0,top,ANG1,BM02B-SRSS-TB,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,JST-SH-1.00mm 1x2,smt,True
113.275,-50.875,90.0,top,ANG2,BM02B-SRSS-TB,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,JST-SH-1.00mm 1x2,smt,True
131.52,-49.515,0.0,top,BOARDLAYOUT1,,board-layout,LAYOUT,tht,False
105.9,-52.8,0.0,top,BT1,B2B-PH-SM4-TBT,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,JST-PH-1x02-2.000mm,smt,True
105.9,-52.8,180.0,bottom,BT2,B2B-PH-SM4-TBT,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,JST-PH-1x02-2.000mm,smt,False
110.375,-58.415,-90.0,top,C1,CL03A104KP3NNNC,C_0201_0603Metric,0.1uF,smt,True
119.555,-61.18,-90.0,top,C10,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
111.75,-64.2,90.0,top,C11,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
114.3,-64.15,90.0,top,C12,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
103.425,-66.5875,-90.0,top,C14,CL10A106KQ8NNNC,C_0603_1608Metric,10uF,smt,True
105.645,-61.98,0.0,top,C15,CL03A104KP3NNNC,C_0201_0603Metric,0.1uF,smt,True
109.655,-58.415,-90.0,top,C2,CL03A474KQ3NNNC,C_0201_0603Metric,0.47uF,smt,True
105.02,-63.625,180.0,top,C3,CL03A475MQ5C65C,C_0201_0603Metric,4.7uF,smt,True
112.175,-67.925,90.0,top,C4,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
114.675,-67.925,90.0,top,C5,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
116.5668,-64.8491,-90.0,top,C6,CL03A104KP3NNNC,C_0201_0603Metric,0.1uF,smt,True
120.28,-61.18,-90.0,top,C7,CL03A104KP3NNNC,C_0201_0603Metric,0.1uF,smt,True
111.795,-62.375,0.0,top,C8,CL03A475MQ5C65C,C_0201_0603Metric,4.7uF,smt,True
143.3,-49.975,0.0,top,C9,CL03A105KQ3CSNC,C_0201_0603Metric,1uF,smt,True
101.535,-70.49,180.0,top,CHARGLED1,APHHS1005SURCK,LED_0402_1005Metric,S1,smt,True
101.535,-69.14,180.0,top,CHARGLED2,APHHS1005SURCK,LED_0402_1005Metric,S2,smt,True
101.535,-67.695,180.0,top,CHARGLED3,APHHS1005SURCK,LED_0402_1005Metric,PG,smt,True
107.2104,-57.819101,0.0,top,FG1,MAX17055ETB+T,21-100013A_T102A2&plus_1C_MXM,MAX17055ETB+T,smt,True
95.25,-52.07,0.0,top,H1,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht,False
95.25,-69.85,0.0,top,H2,,MountingHole_3.2mm_M3_DIN965,MountingHole,tht,False
116.5202,-61.9941,0.0,top,IMU1,ICM-20948,QFN24_3X3X0P9_IVS,ICM-20948,smt,True
96.393,-60.9191,-90.0,top,J1,USB4105-GF-A,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,USB_C_Receptacle_USB2.0,smt,True
136.325,-60.9191,-90.0,top,MCU1,ESP32-S3-WROOM-2-N32R8V,ESP32-S3-WROOM-2,ESP32-S3-WROOM-2,smt,True
117.875,-57.6625,-90.0,top,Q1,BSS138,SOT-23,BSS138,smt,True
114.425,-57.6625,-90.0,top,Q2,BSS138,SOT-23,BSS138,smt,True
119.325,-66.0875,-90.0,top,Q3,BSS138,SOT-23,BSS138,smt,True
122.15,-51.25,-90.0,top,R1,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
121.3575,-55.075,180.0,top,R10,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
103.6918,-57.2691,90.0,top,R12,ERJ-1GNF1002C,R_0201_0603Metric,10k,smt,True
117.245,-55.375,0.0,top,R14,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
113.795,-55.35,0.0,top,R15,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
125.4,-60.625,-90.0,top,R16,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
111.95,-66.225,180.0,top,R17,ERJ-1GNF2492C,R_0201_0603Metric,24.9k,smt,True
105.025,-64.35,180.0,top,R18,ERJ-1GNF3303C,R_0201_0603Metric,330k,smt,True
125.4,-58.65,90.0,top,R19,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
107.21,-60.11,180.0,top,R2,LVK12R010CER,LVK12_OHM-L,Ohmite_LVK12 10m,smt,True
111.95,-65.5,180.0,top,R20,ERJ-1GNF2001C,R_0201_0603Metric,2k,smt,True
119.95,-63.775,0.0,top,R21,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
107.55,-69.105,90.0,top,R22,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
118.975,-68.4,180.0,top,R23,ERJ-1GNF2201C,R_0201_0603Metric,2k2,smt,True
106.8,-69.105,90.0,top,R24,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
108.3,-69.105,90.0,top,R3,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
105.025,-65.1,0.0,top,R4,ERJ-1GNF1103C,R_0201_0603Metric,110k,smt,True
143.305,-50.725,0.0,top,R5,ERJ-1GNF1002C,R_0201_0603Metric,10k,smt,True
101.84,-63.785,90.0,top,R6,ERJ-1GNJ512C,R_0201_0603Metric,5k1,smt,True
101.88,-59.34,-90.0,top,R7,ERJ-1GNJ512C,R_0201_0603Metric,5k1,smt,True
121.3575,-56.025,180.0,top,R8,ERJ-1GNF1001C,R_0201_0603Metric,1k,smt,True
105.0,-67.35,0.0,top,R9,ERJ-1GNF2492C,R_0201_0603Metric,10k,smt,True
123.15,-56.0,0.0,top,STATLED1,APHHS1005SURCK,LED_0402_1005Metric,WIFISTATUS,smt,True
123.1475,-55.05,0.0,top,STATLED2,APHHS1005SURCK,LED_0402_1005Metric,GENERAL STATUS,smt,True
122.85,-66.04,90.0,top,SW1,PTS810 SJM 250 SMTR LFS,SW_SPST_B3U-1000P,B3U-1000P,smt,True
122.85,-60.2,-90.0,top,SW2,PTS810 SJM 250 SMTR LFS,SW_SPST_B3U-1000P,B3U-1000P,smt,True
104.4018,-57.2691,90.0,top,TH1,ERT-JZEG103FA,R_0201_0603Metric,10k,smt,True
113.725,-71.375,180.0,top,TOUCH1,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH-1x04 1.0mm,smt,True
121.525,-71.375,180.0,top,TOUCH2,BM04B-SRSS-TB,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,JST-SH-1x04 1.0mm,smt,True
103.02,-61.94,0.0,top,U1,USBLC6-2P6,SOT-666,USBLC6-2P6,smt,True
108.3375,-65.8,0.0,top,U2,MCP73871-2CCI/ML,QFN-20-1EP_4x4mm_P0.5mm_EP2.5x2.5mm,MCP73871,smt,True
113.4436,-67.92385,180.0,top,U3,NCP167AMX330TBG,XDFN4_1X1_711AJ_ONS,NCP167AMX330TBG,smt,True
113.0186,-64.12615,180.0,top,U4,NCP167AMX180TBG,XDFN4_1X1_711AJ_ONS,NCP167AMX180TBG,smt,True
