Comment,Designator,Footprint,LCSC
JST-PH-1x02-2.000mm,BT1,JST_PH_B2B-PH-SM4-TB_1x02-1MP_P2.00mm_Vertical,
2k2,R23,R_0201_0603Metric,
80.6k,R11,R_0201_0603Metric,
200k,R18,R_0201_0603Metric,
1k,R3,R_0201_0603Metric,
2k2,R19,R_0201_0603Metric,
LED,CHARGLED1,LED_0201_0603Metric,
PTS810 SJM Switch,SW2,SW_SPST_PTS810,
MAX17055ETB+T,FG1,21-100013A_T102A2&plus_1C_MXM,
ICM-20948,IMU1,QFN24_3X3X0P9_IVS,
ESP32-S3-WROOM-2,MCU1,ESP32-S3-WROOM-2,
2k2,R21,R_0201_0603Metric,
5k1,R6,R_0201_0603Metric,
100k,R8,R_0201_0603Metric,
JST-SH-1x04 1.0mm,QWIIC1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,
4.7uH,L2,L_0603_1608Metric,
JST-SH 1x08 1.00mm,TrillExtensionInput1,JST_SH_BM04B-SRSS-TB_1x04-1MP_P1.00mm_Vertical,
22uF,C4,C_0603_1608Metric,
6.04k,R4,R_0201_0603Metric,
0.1uF,C1,C_0201_0603Metric,
JST-SH-1.00mm 1x2,FSR1,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,
SK6812MINI,PWLED1,2659,
1uF,C9,C_0201_0603Metric,
JST-SH-1.00mm 1x2,SW1,JST_SH_BM02B-SRSS-TB_1x02-1MP_P1.00mm_Vertical,
0.1uF,C13,C_0201_0603Metric,
232k,R9,R_0201_0603Metric,
10k,R5,R_0201_0603Metric,
4.7uF,C3,C_0201_0603Metric,
10k,TH1,R_0201_0603Metric,
0.1uF,C14,C_0201_0603Metric,
max8819ceti+,U1,21-0139_T2844&plus_1_MXM,
0.47uF,C2,C_0201_0603Metric,
PCA9306DP,U4,TSSOP-8_3x3mm_P0.65mm,
PTS810 SJM Switch,SW3,SW_SPST_PTS810,
22uF,C5,C_0603_1608Metric,
Ohmite_LVK12 10m,R2,LVK12_OHM-L,
10k,R12,R_0201_0603Metric,
USB_C_Receptacle_USB2.0,J1,USB_C_Receptacle_GCT_USB4105-xx-A_16P_TopMnt_Horizontal,
BSS138,Q3,SOT-23,
2k2,R20,R_0201_0603Metric,
100k,R10,R_0201_0603Metric,
5k1,R7,R_0201_0603Metric,
4.7uF,C8,C_0201_0603Metric,
1k,R1,R_0201_0603Metric,
300,R13,R_0201_0603Metric,
4.7uH,L1,L_0603_1608Metric,
