Manufacturer,Mfg Part #,Description Value Pkg,Reference(s),Qty
JST Sales America Inc.,S2B-PH-SM4-TB,"Connector Header Surface Mount, Right Angle 2 position 0.079"" (2.00mm)",BT1,1
Samsung Electro-Mechanics,CL03A104KP3NNNC,0.1 µF ±10% 10V Ceramic Capacitor X5R 0201 (0603 Metric),"C1, C7, C13, C14",4
Samsung Electro-Mechanics,CL03A474KQ3NNNC,0.47 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric),"C2, C11, C12",3
Samsung Electro-Mechanics,CL03A105KQ3CSNC,1 µF ±10% 6.3V Ceramic Capacitor X5R 0201 (0603 Metric),"C3, C4, C9, C10",4
Samsung Electro-Mechanics,CL03A103KP3NNNC,10000 pF ±10% 10V Ceramic Capacitor X5R 0201 (0603 Metric),C8,1
Kingbright,APG0603ZGC-5MAV,Green 525nm LED Indication - Discrete 2.85V 0201 (0603 Metric),CHARGLED1,1
Infineon Technologies,BAT60BE6327HTSA1,Diode 10 V 3A Surface Mount PG-SOD323-3D,D1,1
Analog Devices Inc./Maxim Integrated,MAX17055ETB+T,Battery Battery Monitor IC Multi-Chemistry 10-TDFN (2.5x2),FG1,1
JST Sales America Inc.,BM02B-SRSS-TB,"Connector Header Surface Mount 2 position 0.039"" (1.00mm)","FSR1, SW1",2
TDK InvenSense,ICM-20948,"Accelerometer, Gyroscope, Magnetometer, 9 Axis Sensor IÂ²C, SPI Output",IMU1,1
GCT,USB4105-GF-A,"USB-C (USB TYPE-C) USB 2.0 Receptacle Connector 24 (16+8 Dummy) Position Surface Mount, Right Angle; Through Hole",J1,1
Espressif Systems,ESP32-S3-WROOM-2-N32R8V,"Bluetooth, WiFi 802.11b/g/n, Bluetooth v5.0 Transceiver Module 2.4GHz PCB Trace Surface Mount",MCU1,1
Adafruit Industries LLC,2659,"Addressable Lighting Neopixel 10 LED Discrete Serial (Shift Register) Red, Green, Blue (RGB) 3.50mm L x 3.50mm W ",PWLED1,1
onsemi,MBT3904DW1T1G,Bipolar (BJT) Transistor Array 2 NPN (Dual) 40V 200mA 300MHz 150mW Surface Mount SC-88/SC70-6/SOT-363,Q1,1
Micro Commercial Co,SI2305BHE3-TP,P-Channel 20 V 4.2A 1.4W Surface Mount SOT-23,Q2,1
ANBON SEMICONDUCTOR (INT'L) LIMITED,BSS138,N-Channel 50 V 220mA (Ta) 350mW (Ta) Surface Mount SOT-23,Q3,1
JST Sales America Inc.,SM04B-SRSS-TB,"Connector Header Surface Mount, Right Angle 4 position 0.039"" (1.00mm)",QWIIC1,1
Panasonic Electronic Components,ERJ-1GNF1001C,"1 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film","R1, R3",2
Ohmite,LVK12R010CER,"10 mOhms Â±0.25% 0.5W, 1/2W Chip Resistor 1206 (3216 Metric) Anti-Corrosive, Current Sense, Moisture Resistant Thick Film",R2,1
Panasonic Electronic Components,ERJ-1GNF1002C,"10 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film","R5, R8, R12, R13, R14, R21, R23",7
Panasonic Electronic Components,ERJ-1GNJ512C,"5.1 kOhms Â±5% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film","R6, R7",2
Panasonic Electronic Components,ERJ-1GNF2001C,"2 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film",R15,1
Panasonic Electronic Components,ERJ-1GNF2201C,"2.2 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film","R16, R17, R19, R20",4
Panasonic Electronic Components,ERJ-1GNF2003C,"200 kOhms Â±1% 0.05W, 1/20W Chip Resistor 0201 (0603 Metric) Thick Film",R18,1
C&K,PTS810 SJM 250 SMTR LFS,Tactile Switch SPST-NO Top Actuated Surface Mount,"SW2, SW3",2
JST Sales America Inc.,SM04B-SRSS-TB,"Connector Header Surface Mount, Right Angle 4 position 0.039"" (1.00mm)",TrillExtensionInput1,1
Torex Semiconductor Ltd,XC6222B331MR-G,Linear Voltage Regulator IC Positive Fixed 1 Output 700mA SOT-25-5,U1,1
WCH,CH340C,USB to serial chip CH340C,U2,1
Microchip Technology,MCP73831T-2DCI/OT,Charger IC Lithium Ion/Polymer SOT-23-5,U3,1
NXP USA Inc.,"PCA9306DP1,125",Voltage Level Translator Bidirectional 1 Circuit 2 Channel 8-TSSOP,U4,1
Analog Devices Inc./Maxim Integrated,MAX8511EXK18+T,Linear Voltage Regulator IC Positive Fixed 1 Output 120mA SC-70-5,Ud1,1
